AffixName|AffixID|Type1|Property1|T1|T2|T3|T4|T5|T6|T7|Type2|Property2|MT1|MT2|MT3|MT4|MT5|MT6|MT7
Idol Sentinel Fire Penetration With Melee Attacks|205||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Armor Shred Chance With Fire Skills|206||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Slow Chance With Void Skills|207||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Bleed Chance While High Health|208||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Ignite Chance While High Health|209||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Melee Armor Shred Chance|211||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Throwing Armor Shred Chance|212||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance To Gain Haste When You Summon A Totem|213||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance On 10 Mana Spent To Cast Lightning|214||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance On Kill To Refresh Random Companion Ability|215||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Bees Per 10 Seconds|216||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance On 10 Mana Spent To Chill Nearby Enemies|217||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance On Hit To Summon A Thorn Totem|218||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Mana Gained When Transforming Back To Human|219||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance To Cast Ice Thorns When Hit|220||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance To Cast Maelstrom Every 5 Seconds|221||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance To Cast Healing Nova When Hit|222||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance To Create Aftershock On Melee Attack|223||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance To Cast Avalanche Boulder On Spell Cast|224||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance To Cast Avalanche Boulder On Melee Attack|225||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Aspect Of The Shark Effect|226||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Aspect Of The Shark Duration|227||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Aspect Of The Boar Effect|228||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Aspect Of The Boar Duration|229||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Aspect Of The Viper Effect|230||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Aspect Of The Viper Duration|231||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Aspect Of The Lynx Effect|232||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Aspect Of The Lynx Duration|233||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Spell Damage If Active Totem|234||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Cold Damage Per Active Totem|235||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance On Melee Kill To Heal Random Minion To Full|236||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Stun Immunity After Using Teleport|237||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Chance To Create Fire Aura On Crit|238||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Elemental Nova Area|239||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Fire Aura Damage|240||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Static Charges Generated Per Second|241||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Cast Speed While You Have Lightning Aegis|242||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Chance To Gain Lightning Aegis When Hit|243||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Ward Granted When Casting Flame Ward|244||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Chance To Cast Elemental Nova When Hit|245||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Chance To Cast Fire Aura When Hit|247||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Fire Aura Area|248||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Ward Gained When Damage Causes Low Health|249||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Damage Reflected While You Have Lightning Aegis|250||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Chance To Cast Lightning Blast When Hit While You Have Lightning Aegis|251||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Lightning Damage While You Have Lightning Aegis|252||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Chance To Cast Fire Aura On Kill With Fire Skills|253||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Lightning Damage Doubled Over 300 Max Mana|254||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Cold Damage Doubled Over 300 Max Mana|255||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Fire Damage Doubled Over 300 Max Mana|256||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Increased Health|257||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Poison Chance While At Low Health|258||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Increased Damage Over Time While At Low Health|259||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Chance To Apply Damned|260||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Increased Damage While Transformed|261||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Less Damage Over Time Taken While Transformed|262||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Damage Leeched As Health While Transformed|263||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Reduced Health Cost Of Spells|264||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolye Chance To Chill With Necrotic Skills|265||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Increased Aura Of Decay Area|266||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Armor Granted By Bone Armor|268||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Increased Healing Effectiveness|269||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Warpath Area|270||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Time Rot Chance|271||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Chance To Cast Void Rift On Kill|272||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Chance To Create Void Essence On Kill|273||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Area of Void Cleave|274||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Chance To Cast Divine Bolt On 0 Cost Skill Use|275||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Chance To Cast Smite On Throwing Attack Hit|276||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Health Gained When Stunned|277||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Echo Damage When A Skill Echoes|278||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Void Damage For 4 Seconds When a Skill Echoes|279||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Melee Damage For 4 Seconds When a Skill Echoes|280||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Chance To Gain Inspiration On Kills With Void Skills|281||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Damage After Casting Devouring Orb|282||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Abyssal Decay Duration|283||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolye Chance To Fear On Hit|284||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Increased Ward Retention|285||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Minion Increased Cooldown Recovery Speed|286||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Minion Chance To Mark For Death On Hit|287||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Minion Chance To Plague On Hit|288||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Less Damage Over Time Taken|289||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Physical Spell Bleed Chance|290||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Increased Spell Damage While At Low Health|292||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Minion Increased Fire Damage|293||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Minion Increased Cold Damage|294||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Increased Physical Spell Critical Strike Chance|295||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Spell Poison Chance|296||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Sigil Duration|298||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Chance for +30 Throwing Fire Damage with Shield Throw|299||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Shield Throw Damage Converted to Void|300||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Lightning Damage With Hammer Throw|301||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Chance To Cast Poison Nova When Hit|303||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Chance For Hungering Souls To Fire Additional Projectiles|304||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Transplant Increased Cooldown Recovery Speed|308||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Necrotic Spell Damage Per Skeletal Mage|309||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Ward On Kill|310||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Chance To Gain Ward On Kill With Hungering Souls|311||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Chance For Summon Wraith To Summon Putrid Wraith|315||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Chance For Summon Wraith To Summon Flame Wraith|316||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Chance To Cast Marrow Shards When You Cast Transplant|317||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Poison Damage during Aura of Decay|318||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Melee Void Damage|326||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Spark Charge on Melee Hit|327||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Mana Spent Gained as Ward|328||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Totem Damage|329||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Increased Mana|331|INCREASED|Mana|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.1|0.12-0.15|0.16-0.2|x|x|x|x|x|x|x|x|x
Primalist Totem Added Spell Damage|334|ADDED|Damage|6-6|7-7|8-8|9-10|11-14|18-22|23-28|x|x|x|x|x|x|x|x|x
Primalist Cooldown Recovery Speed While Transformed|335|ADDED|IncreasedCooldownRecoverySpeed|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.13|0.14-0.16|0.19-0.21|0.22-0.25|x|x|x|x|x|x|x|x|x
Primalist Minion Crit Multiplier|336|ADDED|CriticalMultiplier|0.15-0.15|0.16-0.17|0.18-0.2|0.21-0.23|0.24-0.29|0.36-0.44|0.45-0.55|x|x|x|x|x|x|x|x|x
Primalist Minion Spell Crit Chance|337|INCREASED|CriticalChance|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|x|x|x|x|x|x|x|x|x
Primalist Criti Multi While Transformed|338|ADDED|CriticalMultiplier|0.15-0.15|0.16-0.17|0.18-0.2|0.21-0.23|0.24-0.29|0.36-0.44|0.45-0.55|x|x|x|x|x|x|x|x|x
Mage Cold Penetration With Frostbite|339|ADDED|IncreasedAilmentEffect|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.28|0.29-0.4|0.5-0.6|0.61-0.8|x|x|x|x|x|x|x|x|x
Freeze Rate Per Stack of Chill|341|ADDED|MoreFreezeRatePerStackOfChill|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|x|x|x|x|x|x|x|x|x
Primalist Totem Increased Cast Speed|342|INCREASED|CastSpeed|0.08-0.09|0.1-0.11|0.12-0.13|0.14-0.15|0.16-0.19|0.24-0.28|0.29-0.36|x|x|x|x|x|x|x|x|x
Primalist Minion Melee Leech|346|ADDED|HealthLeech|0.4-0.49|0.5-0.59|0.6-0.69|0.7-0.79|0.8-1.1|1.35-1.6|1.61-2.1|x|x|x|x|x|x|x|x|x
Primalist Minion Chance To Bleed On Hit|347|ADDED|AilmentChance|0.3-0.34|0.35-0.39|0.4-0.44|0.45-0.51|0.52-0.62|0.75-0.9|0.91-1.1|x|x|x|x|x|x|x|x|x
Primalist Minion Melee Crit Chance|348|ADDED|CriticalChance|0.03-0.03|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.08|0.1-0.12|0.13-0.15|x|x|x|x|x|x|x|x|x
Primalist Melee Damage While Transformed|349|INCREASED|Damage|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|x|x|x|x|x|x|x|x|x
Primalist Spell Damage While Transformed|350|INCREASED|Damage|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|x|x|x|x|x|x|x|x|x
Primalist Damage Over Time While Transformed|351|INCREASED|Damage|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|x|x|x|x|x|x|x|x|x
Primalist Increased Totem Crit Chance |352|INCREASED|CriticalChance|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.15-1.4|1.41-1.8|x|x|x|x|x|x|x|x|x
Primalist Increased Aspect Of The Shark Effect|353|ADDED|PlayerProperty|0.12-0.13|0.14-0.15|0.16-0.17|0.18-0.19|0.2-0.25|0.3-0.36|0.37-0.46|x|x|x|x|x|x|x|x|x
Primalist Increased Aspect Of The Boar Duration|354|ADDED|PlayerProperty|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.45|0.55-0.65|0.66-0.85|x|x|x|x|x|x|x|x|x
Primalist Increased Aspect Of The Viper Effect|355|ADDED|PlayerProperty|0.2-0.22|0.23-0.25|0.26-0.28|0.29-0.31|0.32-0.39|0.46-0.55|0.56-0.7|x|x|x|x|x|x|x|x|x
Primalist Increased Aspect Of The Lynx Effect|356|ADDED|PlayerProperty|0.12-0.13|0.14-0.15|0.16-0.17|0.18-0.19|0.2-0.25|0.3-0.36|0.37-0.46|x|x|x|x|x|x|x|x|x
Primalist Increased Totem Damage|357|INCREASED|Damage|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|x|x|x|x|x|x|x|x|x
Sentinel Physical Penetration With Bleed|358|ADDED|IncreasedAilmentEffect|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.45|0.55-0.65|0.66-0.85|x|x|x|x|x|x|x|x|x
Sentinel Melee Physical Damage If Wielding A Sword|359|ADDED|PlayerProperty|6-6|7-7|8-8|9-10|11-13|17-21|22-26|x|x|x|x|x|x|x|x|x
Sentinel Chance To Bleed If Wielding An Axe|363|ADDED|PlayerProperty|0.2-0.23|0.24-0.27|0.28-0.31|0.32-0.35|0.36-0.43|0.5-0.6|0.61-0.8|x|x|x|x|x|x|x|x|x
Sentinel Melee Physical Damage If Wielding A Mace|364|ADDED|PlayerProperty|10-10|11-11|12-12|13-13|14-17|21-26|27-32|x|x|x|x|x|x|x|x|x
Sentinel Void Damage Taken As Physical|365|ADDED|DamageTakenAsPhysical|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.3|0.36-0.44|0.45-0.55|x|x|x|x|x|x|x|x|x
Sentinel Necrotic Damage Taken As Physical|366|ADDED|DamageTakenAsPhysical|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.3|0.36-0.44|0.45-0.55|x|x|x|x|x|x|x|x|x
Sentinel Poison Damage Taken As Physical|367|ADDED|DamageTakenAsPhysical|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.3|0.36-0.44|0.45-0.55|x|x|x|x|x|x|x|x|x
Sentinel Increased Throwing Attack Crit Chance|368|INCREASED|CriticalChance|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.15-1.4|1.41-1.8|x|x|x|x|x|x|x|x|x
Sentinel Reduced Channel Cost|369|INCREASED|ChannelCost|-0.12--0.15|-0.16--0.19|-0.2--0.23|-0.24--0.27|-0.28--0.32|-0.36--0.4|-0.41--0.45|x|x|x|x|x|x|x|x|x
Sentinel Armor Shred Effect|370|ADDED|IncreasedAilmentEffect|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.2-1.5|1.51-1.9|x|x|x|x|x|x|x|x|x
Sentinel Increased Fire Damage Over Time|371|INCREASED|Damage|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.75|0.9-1.1|1.11-1.4|x|x|x|x|x|x|x|x|x
Sentinel Increased Void Damage Over Time|372|INCREASED|Damage|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.75|0.9-1.1|1.11-1.4|x|x|x|x|x|x|x|x|x
Sentinel Increased Echo Damage When A Skill Echoes|373|ADDED|PlayerProperty|0.6-0.72|0.73-0.85|0.86-0.98|0.99-1.1|1.11-1.25|1.5-1.8|1.81-2.2|x|x|x|x|x|x|x|x|x
Sentinel Increased Abyssal Decay Duration|374|ADDED|IncreasedAilmentDuration|0.12-0.17|0.18-0.23|0.24-0.29|0.3-0.34|0.35-0.45|0.55-0.65|0.66-0.85|x|x|x|x|x|x|x|x|x
Sentinel Mana Gained On Vengeance Hit|375|ADDED|AbilityProperty|3-3|4-4|5-5|6-6|7-9|11-13|14-17|x|x|x|x|x|x|x|x|x
Sentinel Mana Gained On Rive Hit|376|ADDED|AbilityProperty|3-3|4-4|5-5|6-6|7-9|11-13|14-17|x|x|x|x|x|x|x|x|x
Sentinel Mana Gained On Smite Use|377|ADDED|AbilityProperty|4-4|5-5|6-6|7-7|8-10|12-14|15-18|x|x|x|x|x|x|x|x|x
Sentinel Increased Hammer Throw Damage|378|ADDED|AbilityProperty|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.58|0.7-0.85|0.86-1.05|x|x|x|x|x|x|x|x|x
Sentinel Increased Shield Throw Crit Chance|379|ADDED|AbilityProperty|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.15-1.4|1.41-1.8|x|x|x|x|x|x|x|x|x
Sentinel Increased Smelters Wrath Damage|380|ADDED|AbilityProperty|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.58|0.7-0.85|0.86-1.05|x|x|x|x|x|x|x|x|x
Mage Spell Crit Doubled Over 300 Max Mana|381|ADDED|PlayerProperty|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.58|0.7-0.85|0.86-1.05|x|x|x|x|x|x|x|x|x
Mage Ward Per Second|382|ADDED|WardRegen|6-6|7-7|8-8|9-10|11-14|18-22|23-28|x|x|x|x|x|x|x|x|x
Mage Added Spell Damage While Channelling|383|ADDED|Damage|6-6|7-7|8-8|9-10|11-13|17-21|22-26|x|x|x|x|x|x|x|x|x
Acolyte Minion Freeze Rate|384|ADDED|FreezeRateMultiplier|0.5-0.69|0.7-0.89|0.9-1.09|1.1-1.39|1.4-1.9|2.4-3|3.01-3.8|x|x|x|x|x|x|x|x|x
Mage Lightning Crit Multi|385|ADDED|CriticalMultiplier|0.16-0.17|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.29|0.34-0.4|0.41-0.5|x|x|x|x|x|x|x|x|x
Mage Spell Damage Leeched While Channelling|386|ADDED|HealthLeech|0.2-0.26|0.27-0.33|0.34-0.4|0.41-0.47|0.48-0.57|0.7-0.85|0.86-1.05|x|x|x|x|x|x|x|x|x
Mage Chance To Apply Frostbite With Cold Skills|387|ADDED|AilmentChance|0.4-0.44|0.45-0.49|0.5-0.54|0.55-0.59|0.6-0.77|0.95-1.15|1.16-1.4|x|x|x|x|x|x|x|x|x
Mage Increased Cold Damage Over Time|388|INCREASED|Damage|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.75|0.9-1.1|1.11-1.4|x|x|x|x|x|x|x|x|x
Mage Increased Fire Damage Over Time|389|INCREASED|Damage|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.75|0.9-1.1|1.11-1.4|x|x|x|x|x|x|x|x|x
Mage Increased Melee Elemental Damage|390|INCREASED|Damage|0.3-0.33|0.34-0.37|0.38-0.43|0.43-0.48|0.48-0.57|0.7-0.85|0.86-1.1|x|x|x|x|x|x|x|x|x
Mage Chance To Ignite With Fire Skills|391|ADDED|AilmentChance|0.4-0.44|0.45-0.49|0.5-0.54|0.55-0.59|0.6-0.77|0.95-1.15|1.16-1.4|x|x|x|x|x|x|x|x|x
Mage Chance To Shock With Lightning Skills|392|ADDED|AilmentChance|0.4-0.44|0.45-0.49|0.5-0.54|0.55-0.59|0.6-0.77|0.95-1.15|1.16-1.4|x|x|x|x|x|x|x|x|x
Mage Chance To Cast Fire Aura On Crit|393|ADDED|PlayerProperty|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.13|0.16-0.2|0.21-0.26|x|x|x|x|x|x|x|x|x
Mage Increased Fire Aura Damage|394|ADDED|AbilityProperty|0.6-0.72|0.73-0.85|0.86-0.98|0.99-1.1|1.12-1.25|1.5-1.8|1.81-2.2|x|x|x|x|x|x|x|x|x
Mage Chance To Gain Lightning Aegis When Hit|395|ADDED|PlayerProperty|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.13|0.16-0.2|0.21-0.26|x|x|x|x|x|x|x|x|x
Mage Chance To Cast Fire Aura When Hit|396|ADDED|PlayerProperty|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.13|0.16-0.2|0.21-0.26|x|x|x|x|x|x|x|x|x
Mage Chance To Cast Fire Aura On Kill With A Fire Skill|398|ADDED|PlayerProperty|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.14|0.18-0.22|0.23-0.28|x|x|x|x|x|x|x|x|x
Mage Chance to Apply a Spark Charge on Melee Hit|399|ADDED|AilmentChance|0.08-0.1|0.11-0.13|0.14-0.16|0.17-0.19|0.2-0.24|0.28-0.34|0.35-0.44|x|x|x|x|x|x|x|x|x
Mage Mana Spent Gained as Ward|400|ADDED|ManaSpentGainedAsWard|0.2-0.23|0.24-0.27|0.28-0.31|0.32-0.35|0.36-0.5|0.6-0.75|0.76-1|x|x|x|x|x|x|x|x|x
Acolyte Physical Damage While Transformed|401|INCREASED|Damage|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.9|1.1-1.3|1.31-1.6|x|x|x|x|x|x|x|x|x
Acolyte Necrotic Damage While Transformed|402|INCREASED|Damage|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.9|1.1-1.3|1.31-1.6|x|x|x|x|x|x|x|x|x
Acolyte Increased Skeletal Mage Damage|410|ADDED|AbilityProperty|0.25-0.38|0.39-0.52|0.53-0.66|0.67-0.8|0.81-0.95|1.15-1.4|1.41-1.8|x|x|x|x|x|x|x|x|x
Acolyte Mana Gained On Harvest Use|411|ADDED|AbilityProperty|5-6|7-8|9-10|11-12|13-15|19-23|24-28|x|x|x|x|x|x|x|x|x
Acolyte Leech With Harvest|412|ADDED|AbilityProperty|0.12-0.16|0.17-0.21|0.22-0.26|0.27-0.31|0.32-0.4|0.48-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
Acolyte Minion Reflect|413|ADDED|PercentReflect|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.11|0.14-0.17|0.18-0.22|x|x|x|x|x|x|x|x|x
Acolyte Chance To Gain 20 Ward On Kill With Hungering Souls|415|ADDED|AbilityProperty|0.4-0.44|0.45-0.49|0.5-0.54|0.55-0.59|0.6-0.77|0.8-0.89|0.9-1|x|x|x|x|x|x|x|x|x
Acolyte Spell Damage Per Skeletal Mage|420|ADDED|AbilityProperty|0.14-0.16|0.17-0.19|0.2-0.22|0.23-0.25|0.26-0.33|0.4-0.5|0.51-0.65|x|x|x|x|x|x|x|x|x
Acolyte Chance To Apply Damned On Hit|421|ADDED|AilmentChance|0.4-0.44|0.45-0.49|0.5-0.54|0.55-0.59|0.6-0.77|0.95-1.15|1.16-1.4|x|x|x|x|x|x|x|x|x
Acolyte Damage Leeched As Health While Transformed|422|ADDED|HealthLeech|0.12-0.16|0.17-0.21|0.22-0.26|0.27-0.31|0.32-0.4|0.48-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
Acolyte Reduced Health Cost Of Spells|423|ADDED|AbilityProperty|0.12-0.15|0.16-0.19|0.2-0.23|0.24-0.27|0.28-0.33|0.4-0.5|0.51-0.65|x|x|x|x|x|x|x|x|x
