AffixName|AffixID|AffixTitle|canRollOn|rerollChance|T1|T2|T3|T4|T5|T6|T7|Type|HueShift|Saturation|Group
Chance To Shock|85|of Static|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,AMULET,BOW,QUIVER|0.5|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|SUFFIX|0.562|0|OffensiveAddition
Armour Shred Chance|86|of Acid|GLOVES,AMULET,ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SWORD,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_SWORD,BOW,CROSSBOW,QUIVER|0.5|0.2-0.3|0.31-0.4|0.41-0.55|0.56-0.7|0.71-1|1.25-1.5|1.51-2|SUFFIX|0.245|0.11|OffensiveAddition
Increased Throwing Attack Speed|87|Slinger's|GLOVES,RING|0.4|0.05-0.07|0.08-0.1|0.11-0.14|0.15-0.18|0.19-0.23|0.26-0.3|0.31-0.36|PREFIX|0.194|0|OffensiveIncrease
Added Throwing Damage|88|Catapult's|BELT,GLOVES,RELIC,AMULET|0.2|2-4|5-7|8-10|11-14|15-20|25-30|31-37|PREFIX|0.102|0|OffensiveAddition
Increased Melee Damage|89|Rending|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,TWO_HANDED_AXE,ONE_HANDED_FIST,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_SWORD,SHIELD|0|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.143|0|OffensiveIncrease
Health Regen|90|of Renewal|HELMET,BOOTS,GLOVES|0|2-3|4-5|6-7|8-10|11-14|18-23|24-30|SUFFIX|0.944|0.07|PassiveDefense
Increased Melee Stun Chance|91|of Stone|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,TWO_HANDED_AXE,ONE_HANDED_FIST,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_SWORD|0|0.4-0.55|0.56-0.75|0.76-0.95|0.96-1.15|1.16-1.4|1.8-2.2|2.21-2.8|SUFFIX|0.041|0|ActiveDefense
Endurance|92|of Endurance|GLOVES,HELMET,SHIELD,BELT,RING,RELIC|0.15|0.03-0.04|0.05-0.06|0.07-0.08|0.09-0.1|0.11-0.15|0.2-0.24|0.25-0.3|SUFFIX|0.904|-0.48|PassiveDefense
Necrotic Penetration|93|Profane|AMULET|0.7|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|PREFIX|0.488|-0.692|OffensiveIncrease
Chance To Shock Attackers|94|of Static|SHIELD,CATALYST|0.6|0.21-0.3|0.31-0.4|0.41-0.55|0.56-0.75|0.76-1|1.3-1.7|1.71-2.2|SUFFIX|0.118|0|Retaliation
Thorns|95|Thorny|BODY_ARMOR,SHIELD|0.6|3-6|7-14|15-25|26-45|46-75|100-130|131-200|PREFIX|0.3|0|Retaliation
Percent Damage Reflected|96|Reflective|BODY_ARMOR,SHIELD|0.6|0.05-0.07|0.08-0.1|0.11-0.13|0.14-0.17|0.18-0.25|0.3-0.36|0.37-0.5|PREFIX|0.072|-0.68|Retaliation
Critical Strike Avoidance|97|of Sanctuary|BOOTS,GLOVES,BELT,RING,HELMET|0.3|0.05-0.09|0.1-0.14|0.15-0.19|0.2-0.24|0.25-0.37|0.46-0.6|0.61-0.75|SUFFIX|0.396|-0.57|PassiveDefense
Increased Minion Damage Over Time|98|of Sorrow|ONE_HANDED_SWORD,TWO_HANDED_SWORD,ONE_HANDED_AXE,TWO_HANDED_AXE,TWO_HANDED_SPEAR|0.5|0.1-0.2|0.21-0.3|0.31-0.4|0.41-0.5|0.51-0.7|0.9-1.1|1.11-1.4|SUFFIX|0.31|-0.53|OffensiveIncrease
Ward Gained on Kill|99|Victorious|AMULET|0.9|3-5|6-8|9-11|12-14|15-19|24-30|31-38|PREFIX|0.463|-0.73|ActiveDefense
Increased Elemental Damage Over Time|100|Infernal|RING,RELIC,BELT,AMULET,WAND,TWO_HANDED_STAFF|0.7|0.1-0.2|0.21-0.35|0.36-0.5|0.51-0.7|0.71-1.1|1.4-1.7|1.71-2.2|PREFIX|0.965|0.33|OffensiveIncrease
Increased Area for Area Skills|101|Conqueror's|GLOVES,AMULET|0.6|0.06-0.07|0.08-0.09|0.1-0.12|0.13-0.15|0.16-0.2|0.25-0.29|0.3-0.34|PREFIX|0.822|-0.717|OffensiveIncrease
Increased Minion Spell Damage|102|of the Coven|ONE_HANDED_SWORD,TWO_HANDED_SWORD,ONE_HANDED_AXE,TWO_HANDED_AXE,ONE_HANDED_SCEPTRE,TWO_HANDED_STAFF|0.5|0.1-0.2|0.21-0.3|0.31-0.4|0.41-0.5|0.51-0.7|0.9-1.1|1.11-1.4|SUFFIX|0.451|-0.47|OffensiveIncrease
Damage While Channelling|103|Channeller's|AMULET,RELIC,TWO_HANDED_STAFF|0.6|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.728|-0.48|OffensiveIncrease
All Resistances While Channelling|104|of Meditation|RELIC|0.6|0.05-0.06|0.07-0.08|0.09-0.12|0.13-0.16|0.17-0.22|0.28-0.36|0.37-0.48|SUFFIX|0.75|-0.66|ActiveDefense
Idol Health|105|of Life|IDOL_1x1_LAGON,IDOL_1x2,IDOL_1x3,IDOL_1x4,IDOL_2x2|0|30-80|||||||SUFFIX|0|0|PassiveDefense
Idol Health on Kill|106|Sanctified|IDOL_2x1,IDOL_2x2|0|10-20|||||||PREFIX|0|0|PassiveDefense
Idol Increased Health|107|Vigorous|IDOL_1x2,IDOL_1x3|0|0.05-0.14|||||||PREFIX|0|0|PassiveDefense
Idol Increased Health Regen|108|Bountiful|IDOL_1x1_ETERRA,IDOL_3x1|0|0.25-0.68|||||||PREFIX|0|0|PassiveDefense
Idol Mana|109|Lunar|IDOL_1x1_LAGON,IDOL_3x1|0|15-40|||||||PREFIX|0|0|PassiveDefense
Idol Armour|110|Plated|IDOL_1x1_LAGON,IDOL_4x1|0|58-156|||||||PREFIX|0|0|PassiveDefense
Idol Fire Resistance|111|of Embers|IDOL_1x1_LAGON,IDOL_1x2,IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.2-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Cold Resistance|112|of Frost|IDOL_1x1_LAGON,IDOL_1x2,IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.2-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Lightning Resistance|113|of Sparks|IDOL_1x1_LAGON,IDOL_1x2,IDOL_1x3,IDOL_1x4|0|0.2-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Necrotic Resistance|114|of Purity|IDOL_1x1_ETERRA,IDOL_2x1,IDOL_3x1,IDOL_4x1|0|0.2-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Void Resistance|115|of Hope|IDOL_1x1_ETERRA,IDOL_2x1,IDOL_3x1,IDOL_4x1|0|0.2-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Poison Resistance|116|of Remedy|IDOL_1x1_ETERRA,IDOL_2x1,IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.2-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Elemental Resistance|117|of Insulation|IDOL_1x1_LAGON,IDOL_1x2,IDOL_1x3,IDOL_1x4|0|0.08-0.2|||||||SUFFIX|0|0|PassiveDefense
Idol Dodge Rating|118|Evasive|IDOL_1x1_ETERRA,IDOL_1x3|0|26-70|||||||PREFIX|0|0|PassiveDefense
Idol Increased Damage Over Time|119|Blighted|IDOL_1x1_ETERRA,IDOL_3x1|0|0.22-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Chance To Gain 30 Ward When Hit|120|Reactive|IDOL_1x2,IDOL_4x1|0|0.15-0.4|||||||PREFIX|0|0|PassiveDefense
Idol Increased Stun Chance|121|Stunning|IDOL_1x1_ETERRA,IDOL_2x2|0|0.44-1.2|||||||PREFIX|0|0|PassiveDefense
Idol Ward On Potion Use|122|Alchemist's|IDOL_1x1_LAGON,IDOL_1x3|0|30-80|||||||PREFIX|0|0|PassiveDefense
Idol Potion Health Converted To Ward|123|Philosopher's|IDOL_1x2,IDOL_1x4|0|0.2-0.55|||||||PREFIX|0|0|PassiveDefense
Idol Vitality|124|Vital|IDOL_2x1,IDOL_4x1|0|3-7|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Elemental Resistance While Transformed|125|of Metamorphosis|IDOL_1x3|0|0.2-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Cold Bleed Chance|126|Jagged|IDOL_1x3|0|0.2-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Fire Damage Over Time|127|of Cinders|IDOL_1x3|0|0.33-0.9|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Bleed Duration|128|Wounding|IDOL_1x3|0|0.1-0.4|||||||PREFIX|0|0|PassiveDefense
Idol Mage Increased Mana And Armor|129|of the Stronghold|IDOL_3x1,IDOL_4x1|0|0.05-0.12|||||||SUFFIX|0|0|PassiveDefense
Idol Increased Totem Health|130|of Farwood|IDOL_1x3,IDOL_1x4|0|0.61-1.65|||||||SUFFIX|0|0|PassiveDefense
Idol Totem Armor|131|Hardened|IDOL_1x3|0|178-480|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Increased Health Regen While Transformed|132|Of Harmony|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.35-1|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Totem Elemental Resistance|133|Evergreen|IDOL_1x3|0|0.15-0.4|||||||PREFIX|0|0|PassiveDefense
Idol Increased Critical Strike Chance|134|Assassin's|IDOL_1x2,IDOL_1x4|0|0.2-0.55|||||||PREFIX|0|0|PassiveDefense
Idol Increased Healing Effectiveness|135|Cleric's|IDOL_1x1_ETERRA,IDOL_2x2|0|0.37-1|||||||PREFIX|0|0|PassiveDefense
Idol Stun Avoidance|136|Tenacious|IDOL_1x1_LAGON,IDOL_1x4|0|200-450|||||||PREFIX|0|0|PassiveDefense
Idol Freeze Rate Multiplier|137|Glacial|IDOL_1x2,IDOL_1x4|0|0.15-0.4|||||||PREFIX|0|0|PassiveDefense
Idol Bleed Chance|138|Serrated|IDOL_2x1,IDOL_4x1|0|0.13-0.36|||||||PREFIX|0|0|PassiveDefense
Idol Ignite Chance|139|Conflagrating|IDOL_1x2,IDOL_1x3|0|0.13-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Poison Chance|140|Venomous|IDOL_2x1,IDOL_3x1|0|0.11-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Shock Chance|141|Electrifying|IDOL_1x2,IDOL_1x4|0|0.19-0.5|||||||PREFIX|0|0|PassiveDefense
Idol Ward Retention|142|Shrewd|IDOL_1x1_LAGON,IDOL_2x2|0|0.13-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Increased Stun Duration|143|Warden's|IDOL_2x1,IDOL_2x2|0|0.15-0.4|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Increased Totem Cast Speed|144|Empowered|IDOL_4x1|0|0.11-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Minion Dodge Rating|145|of the Prey|IDOL_1x3,IDOL_1x4|0|89-240|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Minion Melee Health Leech|146|Ravenous|IDOL_1x4|0|0.1-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Minion Melee Attack Speed|147|of Fury|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.09-0.24|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Minion Increased Cooldown Recovery Speed|148|Lucid|IDOL_1x4|0|0.07-0.2|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Minion Increased Healing Effectiveness|149|Stimulating|IDOL_2x2|0|0.39-1.05|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Minion Increased Melee Stun Chance|150|Thrashing|IDOL_1x4|0|0.46-1.25|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Minion Increased Critical Strike Chance|151|of Savagery|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.22-0.6|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Minion Bleed Chance|152|of Laceration|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.19-0.52|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Minion Poison Chance|153|of Toxicity|IDOL_1x3,IDOL_1x4|0|0.11-0.3|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Minion Melee Critical Strike Chance|154|Cleaving|IDOL_1x4|0|0.01-0.02|||||||PREFIX|0|0|PassiveDefense
Idol Mage Spell Damage Leeched While Channelling|155|of Absorption|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.1-0.3|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Increased Melee Damage While Transformed|156|Flaying|IDOL_3x1|0|0.22-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Increased Spell Damage While Transformed|157|Dryad's|IDOL_3x1|0|0.22-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Increased Damage Over Time While Transformed|158|Efficacious|IDOL_3x1|0|0.22-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Melee Critical Strike Multiplier While Transformed|159|Dismembering|IDOL_3x1|0|0.12-0.33|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Shared Melee Bleed Chance|160|of Sharpness|IDOL_1x3,IDOL_1x4|0|0.15-0.4|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Shared Bleed Duration|161|Gouging|IDOL_2x2|0|0.07-0.25|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Shared Crit Avoidance|162|of Agility|IDOL_1x3,IDOL_1x4|0|0.15-0.4|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Chance To Apply Frostbite With Cold Skills|163|Hypothermic|IDOL_2x2|0|0.25-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Totem Critical Strike Chance|164|Attuned|IDOL_4x1|0|0.02-0.04|||||||PREFIX|0|0|PassiveDefense
Idol Mage Less Damage Over Time Taken While Channelling|165|of Resolve|IDOL_3x1,IDOL_4x1|0|-0.06--0.16|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Chance To Apply Frostbite With Cold Skills|166|Hypothermic|IDOL_2x2|0|0.25-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Mage Increased Ignite And Spreading Flames Duration|167|Wildfire|IDOL_4x1|0|0.07-0.25|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Shared Increased Critical Strike Chance With Lightning Skills|168|of Thunder|IDOL_1x3,IDOL_1x4|0|0.19-0.5|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Increased Cold And Lightning Damage|169|of the Tempest|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.18-0.48|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Shared Increased Spell Damage|170|of Stars|IDOL_1x3,IDOL_1x4|0|0.18-0.48|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Shared Increased Melee Damage|171|of War|IDOL_1x3,IDOL_1x4|0|0.18-0.48|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Increased Physical And Poison Damage|172|of the Scorpion|IDOL_1x3,IDOL_1x4|0|0.18-0.48|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Shared Increased Damage Over Time|173|of the Hive|IDOL_1x3,IDOL_1x4|0|0.18-0.48|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Increased Frostbite Duration|174|Frigid|IDOL_3x1|0|0.15-0.36|||||||PREFIX|0|0|PassiveDefense
Idol Mage Chance to Gain 20 Ward on Melee Hit|175|of Warding|IDOL_1x3,IDOL_1x4|0|0.08-0.2|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Increased Cold Damage Over Time|176|of Rime|IDOL_3x1,IDOL_4x1|0|0.3-0.75|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Increased Fire Damage Over Time|177|of Cinders|IDOL_3x1,IDOL_4x1|0|0.22-0.6|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Ward Generated Per Second|178|of Innervation|IDOL_3x1,IDOL_4x1|0|11-30|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Increased Melee Elemental Damage|179|Gleaming|IDOL_4x1|0|0.28-0.7|||||||PREFIX|0|0|PassiveDefense
Idol Mage Chance To Ignite With Fire Skills|180|Sweltering|IDOL_1x4|0|0.16-0.42|||||||PREFIX|0|0|PassiveDefense
Idol Mage Chance To Shock With Lightning Skills|181|Jolting|IDOL_1x4|0|0.3-0.8|||||||PREFIX|0|0|PassiveDefense
Idol Mage Fire Penetration With Ignite|182|Searing|IDOL_1x3|0|0.09-0.16|||||||PREFIX|0|0|PassiveDefense
Idol Mage Cold Penetration With Frostbite|183|Bitter|IDOL_1x3|0|0.13-0.35|||||||PREFIX|0|0|PassiveDefense
Idol Mage Increased Shock Duration|184|Electrifying|IDOL_1x3|0|0.06-0.15|||||||PREFIX|0|0|PassiveDefense
Idol Mage Increased Critical Strike Chance With Lightning Skills|185|Crackling|IDOL_3x1|0|0.22-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Mage Melee Fire Damage|186|of Kindling|IDOL_1x3,IDOL_1x4|0|2-4|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Melee Lightning Damage|187|of Sparks|IDOL_1x3,IDOL_1x4|0|2-4|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Melee Cold Damage|188|of Biting|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|2-4|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Spell Fire Damage|189|of Incineration|IDOL_1x3,IDOL_1x4|0|2-4|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Lightning Spell Damage|190|of Impulse|IDOL_1x3,IDOL_1x4|0|2-4|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Spell Cold Damage|191|of Cooling|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|2-4|||||||SUFFIX|0|0|PassiveDefense
Acolyte +1 Skeleton and Increased Skeleton Damage|192||BODY_ARMOR|0.92|1-1|1-1|1-1|1-1|1-1|1-1|1-1|PREFIX|0.077|-0.92|OffensiveAbility
Idol Sentinel Increased Physical Damage Over Time|193|of Blood Loss|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.33-0.9|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Increased Spell Blind Chance|194|Dazzling|IDOL_2x2|0|0.13-0.35|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Mana Efficiency For Void Spells|195|Introspective|IDOL_4x1|0|0.09-0.25|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Armor|196|of the Fortress|IDOL_3x1,IDOL_4x1|0|0.15-0.35|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Block Effectiveness|197|of the Bulwark|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|185-500|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Armor Shred Chance|198|of Dismantling|IDOL_3x1,IDOL_4x1|0|0.22-0.6|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Throwing Attack Critical Strike Multiplier|199|Fervent|IDOL_1x3|0|0.13-0.35|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Throwing Attack Stun Chance|200|Concussive|IDOL_1x4|0|0.56-1.5|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Time Rot Duration|201|Deteriorated|IDOL_1x4|0|0.15-0.4|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Fire Damage Taken As Physical|202|Kilning|IDOL_2x2|0|0.08-0.2|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Lightning Damage Taken As Physical|203|Grounding|IDOL_1x4|0|0.08-0.2|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Cold Damage Taken As Physical|204|Inlaid|IDOL_3x1|0|0.08-0.2|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Fire Penetration With Melee Attacks|205|of Combustion|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.07-0.15|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Armor Shred Chance With Fire Skills|206|of Melting|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.3-0.8|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Slow Chance With Void Skills|207|of Withering|IDOL_3x1,IDOL_4x1|0|0.25-0.6|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Bleed Chance While High Health|208|of Boldness|IDOL_3x1,IDOL_4x1|0|0.15-0.4|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Ignite Chance While High Health|209|of the Blaze|IDOL_3x1,IDOL_4x1|0|0.15-0.4|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Shared Damage Reflect|210|of Riposting|IDOL_3x1,IDOL_4x1|0|0.1-0.35|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Melee Armor Shred Chance|211|of Dismantling|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.3-0.8|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Throwing Armor Shred Chance|212|of the Siege|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.3-0.8|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Chance To Gain Haste When You Summon A Totem|213|Divine|IDOL_3x1|0|0.17-0.5|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Chance On 10 Mana Spent To Cast Lightning|214|Static|IDOL_2x2|0|0.18-0.5|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Chance On Kill To Refresh Random Companion Ability|215|Enlightening|NONE|0|0.03-0.08|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Bees Per 10 Seconds|216|Keeper's|IDOL_4x1|0.9|3-7|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Chance On 10 Mana Spent To Chill Nearby Enemies|217|Chilling|IDOL_1x4|0|0.1-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Chance On Hit To Summon A Thorn Totem|218|Spined|IDOL_4x1|0|0.04-0.1|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Mana Gained When Transforming Back To Human|219|Energizing|IDOL_3x1|0|5-15|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Chance To Cast Ice Thorns When Hit|220|Prickling|IDOL_3x1|0|0.03-0.08|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Chance To Cast Maelstrom Every 5 Seconds|221|Tempestuous|IDOL_1x3|0|0.09-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Chance To Cast Healing Nova When Hit|222|Purifying|IDOL_1x4|0|0.03-0.08|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Chance To Create Aftershock On Melee Attack|223|Rumbling|IDOL_2x2|0|0.03-0.08|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Chance To Cast Avalanche Boulder On Spell Cast|224|Reverbrating|IDOL_4x1|0|0.04-0.11|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Chance To Cast Avalanche Boulder On Melee Attack|225|Resounding|IDOL_4x1|0|0.05-0.14|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Increased Aspect Of The Shark Effect|226|of the Predator|IDOL_1x3,IDOL_1x4|0|0.06-0.2|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Increased Aspect Of The Shark Duration|227|Hunter's|IDOL_2x2|0|0.07-0.25|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Increased Aspect Of The Boar Effect|228|of Vigor|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.05-0.12|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Increased Aspect Of The Boar Duration|229|Porcine|IDOL_1x3|0|0.09-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Increased Aspect Of The Viper Effect|230|of the Viper|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.1-0.25|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Increased Aspect Of The Viper Duration|231|Virulent|IDOL_1x4|0|0.15-0.4|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Increased Aspect Of The Lynx Effect|232|Lynx's|IDOL_1x4|0|0.1-0.25|||||||PREFIX|0|0|PassiveDefense
Idol Primalist Increased Aspect Of The Lynx Duration|233|of Ferocity|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.15-0.4|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Increased Spell Damage If Active Totem|234|of Prophecy|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.25-0.6|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Increased Cold Damage Per Active Totem|235|of Attunement|IDOL_4x1|0|0.07-0.22|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Chance On Melee Kill To Heal Random Minion To Full|236|Refreshing|IDOL_1x3|0|0.06-0.15|||||||PREFIX|0|0|PassiveDefense
Idol Mage Stun Immunity After Using Teleport|237|Phasing|IDOL_1x4|0|2-3|||||||PREFIX|0|0|PassiveDefense
Idol Mage Chance To Create Fire Aura On Crit|238|Cataclysmic|IDOL_2x2|0|0.06-0.15|||||||PREFIX|0|0|PassiveDefense
Idol Mage Increased Elemental Nova Area|239|Expansive|IDOL_3x1|0|0.11-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Mage Increased Fire Aura Damage|240|Scorching|IDOL_1x3|0|0.3-1|||||||PREFIX|0|0|PassiveDefense
Idol Mage Static Charges Generated Per Second|241|Conduit's|IDOL_1x4|0|2-5|||||||PREFIX|0|0|PassiveDefense
Idol Mage Increased Cast Speed While You Have Lightning Aegis|242|Swift|IDOL_1x3|0|0.1-0.28|||||||PREFIX|0|0|PassiveDefense
Idol Mage Chance To Gain Lightning Aegis When Hit|243|of Conduction|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.04-0.1|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Ward Granted When Casting Flame Ward|244|Stalwart's|IDOL_3x1|0|42-96|||||||PREFIX|0|0|PassiveDefense
Idol Mage Chance To Cast Elemental Nova When Hit|245|Elementalist's|IDOL_2x2|0|0.04-0.1|||||||PREFIX|0|0|PassiveDefense
Idol Mage Increased Volcanic Orb Damage And Reduced Speed|246|Obsidian|IDOL_4x1|0|0.2-0.55|||||||PREFIX|0|0|PassiveDefense
Idol Mage Chance To Cast Fire Aura When Hit|247|of the Flame|IDOL_1x3,IDOL_1x4|0|0.02-0.05|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Increased Fire Aura Area|248|Consuming|IDOL_3x1|0|0.15-0.36|||||||PREFIX|0|0|PassiveDefense
Idol Mage Ward Gained When Damage Causes Low Health|249|Sheltering|IDOL_2x2|0|35-100|||||||PREFIX|0|0|PassiveDefense
Idol Mage Damage Reflected While You Have Lightning Aegis|250|Dynamic|IDOL_2x2|0.5|0.3-1|||||||PREFIX|0|0|PassiveDefense
